,idx,lat,lon,location_type,types
0,0,40.725364,-73.900637,ROOFTOP,['street_address']
1,1,40.7593922,-73.996966,GEOMETRIC_CENTER,['intersection']
2,20,40.7607296,-74.00205799999999,GEOMETRIC_CENTER,['intersection']
3,36,40.722653,-73.77756409999999,GEOMETRIC_CENTER,['intersection']
4,57,40.8269581,-73.8309439,GEOMETRIC_CENTER,['intersection']
5,74,40.7624844,-73.9629638,GEOMETRIC_CENTER,['intersection']
6,102,40.6828011,-73.80622040000002,GEOMETRIC_CENTER,['intersection']
7,150,40.76286580000001,-73.9894109,GEOMETRIC_CENTER,['intersection']
8,186,40.7716252,-73.8335018,GEOMETRIC_CENTER,['intersection']
9,208,40.778967,-73.7844446,GEOMETRIC_CENTER,['intersection']
10,235,40.5300883,-74.23242239999999,ROOFTOP,['premise']
11,238,40.7911964,-73.8299255,GEOMETRIC_CENTER,['route']
12,263,40.65438109999999,-73.86984319999999,ROOFTOP,['street_address']
13,288,40.749101,-73.992006,GEOMETRIC_CENTER,['intersection']
14,364,40.8433681,-73.83694609999999,GEOMETRIC_CENTER,['intersection']
15,374,40.670862,-73.863168,GEOMETRIC_CENTER,['intersection']
16,424,40.6733177,-73.8011499,GEOMETRIC_CENTER,['intersection']
17,445,40.6330801,-73.9722254,GEOMETRIC_CENTER,['intersection']
18,470,40.8192717,-73.9303614,GEOMETRIC_CENTER,['intersection']
19,476,40.7480973,-73.9564142,ROOFTOP,"['establishment', 'general_contractor', 'point_of_interest']"
20,506,40.873285,-73.87037699999999,GEOMETRIC_CENTER,['intersection']
21,538,40.54693820000001,-74.162324,ROOFTOP,['premise']
22,568,40.625758,-73.93356109999999,GEOMETRIC_CENTER,['intersection']
23,584,40.6672507,-73.8419854,GEOMETRIC_CENTER,['intersection']
24,606,40.7143934,-73.9334555,GEOMETRIC_CENTER,['intersection']
25,611,40.8850354,-73.84314309999999,GEOMETRIC_CENTER,['intersection']
26,615,40.6432996,-73.97417039999999,GEOMETRIC_CENTER,['intersection']
27,651,40.55499560000001,-74.18351229999999,GEOMETRIC_CENTER,['intersection']
28,756,40.7918764,-73.93560579999999,GEOMETRIC_CENTER,['route']
29,810,40.8606096,-73.8287288,GEOMETRIC_CENTER,['intersection']
